user_id,product_id,purchase_time,quantity,price
63,6236,2019-09-23T20:10:22Z,1,200
81,3076,2019-09-27T10:24:29Z,1,14.4
81,4337,2019-09-27T10:24:29Z,1,20.8
96,5097,2019-09-28T11:23:43Z,1,56
96,8324,2019-09-28T11:23:43Z,1,78.4
96,8679,2019-09-28T11:23:43Z,1,154.4
96,11452,2019-09-28T11:23:43Z,1,68
104,6071,2019-09-11T20:18:05Z,1,70
104,7417,2019-09-11T20:18:05Z,1,65
119,14433,2019-09-12T15:01:15Z,1,122
119,179,2019-09-27T12:15:13Z,1,88
119,10375,2019-09-27T12:15:13Z,1,37.6
182,11499,2019-10-05T10:25:38Z,1,85
218,10828,2019-09-28T17:13:57Z,1,148.8
244,134117,2019-09-24T16:26:39Z,1,150
244,17189,2019-09-27T22:39:32Z,1,137.6
270,5994,2019-09-30T15:52:56Z,1,70.4
270,7352,2019-09-30T15:52:56Z,1,81.6
293,2336,2019-09-19T11:54:04Z,1,370
311,132713,2019-10-20T13:23:24Z,1,44
338,18804,2019-10-11T00:36:10Z,1,186
348,10174,2019-09-30T17:18:59Z,1,149
369,6440,2019-10-27T11:22:43Z,1,155
369,134276,2019-10-27T11:22:43Z,1,75
461,1213,2019-10-26T20:43:31Z,1,132
539,14567,2019-09-11T22:21:19Z,1,95
544,2359,2019-09-30T23:42:55Z,1,308
570,11774,2019-10-20T13:13:23Z,1,105
571,3190,2019-09-28T21:42:09Z,1,32
571,16000,2019-09-28T21:42:09Z,1,44.8
571,17354,2019-09-28T21:42:09Z,1,68
571,131930,2019-09-28T21:42:09Z,1,36.8
586,7586,2019-10-08T12:56:33Z,1,95
586,9253,2019-10-08T12:56:33Z,1,120
586,132467,2019-10-08T12:56:33Z,1,85
593,2395,2019-10-10T21:19:14Z,1,495
599,132290,2019-09-06T14:38:19Z,1,296
599,13761,2019-09-08T19:25:55Z,1,119
599,14506,2019-09-08T19:25:55Z,1,54
607,7306,2019-09-06T17:30:07Z,1,63
613,16122,2019-09-22T18:47:28Z,1,83
617,18754,2019-09-04T23:21:23Z,1,84
617,9376,2019-10-03T14:02:02Z,1,68
617,137298,2019-10-21T13:18:37Z,1,304
630,15278,2019-09-27T17:19:15Z,1,72
630,15314,2019-09-27T17:19:15Z,1,80
643,136934,2019-10-17T11:29:58Z,1,705
653,10056,2019-09-10T17:44:57Z,1,77
653,14393,2019-09-10T17:44:57Z,1,161
653,14398,2019-09-10T17:44:57Z,1,53
653,14820,2019-09-10T17:44:57Z,1,70
653,15976,2019-09-10T17:44:57Z,1,105
687,1524,2019-09-29T12:07:51Z,1,131.2
705,6528,2019-10-26T21:51:01Z,1,56
705,13968,2019-10-26T21:51:01Z,1,56
